,State,County,Confirmed,Recovered,Deaths,Last_Update
644,Alabama,Covington,0,0,0,2020-03-25T15:58:59.000Z
532,Alabama,Clarke,0,0,0,2020-03-25T15:58:59.000Z
538,Alabama,Clay,0,0,0,2020-03-25T15:58:59.000Z
2974,Alabama,Washington,1,0,0,2020-03-25T15:58:59.000Z
562,Alabama,Cleburne,0,0,0,2020-03-25T15:58:59.000Z
587,Alabama,Coffee,0,0,0,2020-03-25T15:58:59.000Z
592,Alabama,Colbert,0,0,0,2020-03-25T15:58:59.000Z
1813,Alabama,Marshall,0,0,0,2020-03-25T15:58:59.000Z
500,Alabama,Choctaw,0,0,0,2020-03-25T15:58:59.000Z
622,Alabama,Conecuh,0,0,0,2020-03-25T15:58:59.000Z
1792,Alabama,Marion,1,0,0,2020-03-25T15:58:59.000Z
1787,Alabama,Marengo,0,0,0,2020-03-25T15:58:59.000Z
2937,Alabama,Walker,5,0,0,2020-03-25T15:58:59.000Z
667,Alabama,Crenshaw,0,0,0,2020-03-25T15:58:59.000Z
2258,Alabama,Pickens,0,0,0,2020-03-25T15:58:59.000Z
1755,Alabama,Madison,21,0,0,2020-03-25T15:58:59.000Z
1747,Alabama,Macon,0,0,0,2020-03-25T15:58:59.000Z
634,Alabama,Coosa,0,0,0,2020-03-25T15:58:59.000Z
494,Alabama,Chilton,0,0,0,2020-03-25T15:58:59.000Z
471,Alabama,Cherokee,0,0,0,2020-03-25T15:58:59.000Z
2481,Alabama,Russell,0,0,0,2020-03-25T15:58:59.000Z
110,Alabama,Autauga,1,0,0,2020-03-25T15:58:59.000Z
119,Alabama,Baldwin,4,0,0,2020-03-25T15:58:59.000Z
2233,Alabama,Perry,0,0,0,2020-03-25T15:58:59.000Z
131,Alabama,Barbour,0,0,0,2020-03-25T15:58:59.000Z
2385,Alabama,Randolph,0,0,0,2020-03-25T15:58:59.000Z
3107,Alabama,Winston,0,0,0,2020-03-25T15:58:59.000Z
201,Alabama,Bibb,0,0,0,2020-03-25T15:58:59.000Z
221,Alabama,Blount,0,0,0,2020-03-25T15:58:59.000Z
3076,Alabama,Wilcox,0,0,0,2020-03-25T15:58:59.000Z
310,Alabama,Bullock,0,0,0,2020-03-25T15:58:59.000Z
322,Alabama,Butler,0,0,0,2020-03-25T15:58:59.000Z
347,Alabama,Calhoun,2,0,0,2020-03-25T15:58:59.000Z
2005,Alabama,Morgan,2,0,0,2020-03-25T15:58:59.000Z
1978,Alabama,Montgomery,9,0,0,2020-03-25T15:58:59.000Z
1957,Alabama,Monroe,0,0,0,2020-03-25T15:58:59.000Z
1948,Alabama,Mobile,6,0,0,2020-03-25T15:58:59.000Z
443,Alabama,Chambers,5,0,0,2020-03-25T15:58:59.000Z
706,Alabama,Dale,0,0,0,2020-03-25T15:58:59.000Z
708,Alabama,Dallas,0,0,0,2020-03-25T15:58:59.000Z
680,Alabama,Cullman,3,0,0,2020-03-25T15:58:59.000Z
738,Alabama,DeKalb,0,0,0,2020-03-25T15:58:59.000Z
1299,Alabama,Houston,1,0,0,2020-03-25T15:58:59.000Z
1248,Alabama,Henry,0,0,0,2020-03-25T15:58:59.000Z
1364,Alabama,Jackson,2,0,0,2020-03-25T15:58:59.000Z
2736,Alabama,Sumter,0,0,0,2020-03-25T15:58:59.000Z
1152,Alabama,Hale,0,0,0,2020-03-25T15:58:59.000Z
1400,Alabama,Jefferson,91,0,0,2020-03-25T15:58:59.000Z
2759,Alabama,Talladega,2,0,0,2020-03-25T15:58:59.000Z
2761,Alabama,Tallapoosa,2,0,0,2020-03-25T15:58:59.000Z
2656,Alabama,St. Clair,4,0,0,2020-03-25T15:58:59.000Z
1111,Alabama,Greene,0,0,0,2020-03-25T15:58:59.000Z
1032,Alabama,Geneva,0,0,0,2020-03-25T15:58:59.000Z
1725,Alabama,Lowndes,0,0,0,2020-03-25T15:58:59.000Z
956,Alabama,Franklin,1,0,0,2020-03-25T15:58:59.000Z
1576,Alabama,Lamar,1,0,0,2020-03-25T15:58:59.000Z
2267,Alabama,Pike,0,0,0,2020-03-25T15:58:59.000Z
2844,Alabama,Tuscaloosa,10,0,0,2020-03-25T15:58:59.000Z
873,Alabama,Elmore,8,0,0,2020-03-25T15:58:59.000Z
885,Alabama,Escambia,0,0,0,2020-03-25T15:58:59.000Z
894,Alabama,Etowah,0,0,0,2020-03-25T15:58:59.000Z
1607,Alabama,Lawrence,0,0,0,2020-03-25T15:58:59.000Z
914,Alabama,Fayette,0,0,0,2020-03-25T15:58:59.000Z
2592,Alabama,Shelby,27,0,0,2020-03-25T15:58:59.000Z
1624,Alabama,Lee,26,0,0,2020-03-25T15:58:59.000Z
1662,Alabama,Limestone,4,0,0,2020-03-25T15:58:59.000Z
1600,Alabama,Lauderdale,3,0,0,2020-03-25T15:58:59.000Z
784,Alaska,Dillingham,0,0,0,2020-03-25T15:58:59.000Z
1151,Alaska,Haines,0,0,0,2020-03-25T15:58:59.000Z
199,Alaska,Bethel,0,0,0,2020-03-25T15:58:59.000Z
2900,Alaska,Valdez-Cordova,0,0,0,2020-03-25T15:58:59.000Z
766,Alaska,Denali,0,0,0,2020-03-25T15:58:59.000Z
3129,Alaska,Wrangell,0,0,0,2020-03-25T15:58:59.000Z
2245,Alaska,Petersburg,0,0,0,2020-03-25T15:58:59.000Z
2094,Alaska,North Slope,0,0,0,2020-03-25T15:58:59.000Z
2100,Alaska,Northwest Arctic,0,0,0,2020-03-25T15:58:59.000Z
2090,Alaska,Nome,0,0,0,2020-03-25T15:58:59.000Z
2645,Alaska,Southeast Fairbanks,0,0,0,2020-03-25T15:58:59.000Z
1461,Alaska,Juneau,2,0,0,2020-03-25T15:58:59.000Z
1482,Alaska,Kenai Peninsula,4,0,0,2020-03-25T15:58:59.000Z
898,Alaska,Fairbanks North Star,9,0,0,2020-03-25T15:58:59.000Z
2624,Alaska,Sitka,0,0,0,2020-03-25T15:58:59.000Z
1498,Alaska,Ketchikan Gateway,8,0,0,2020-03-25T15:58:59.000Z
1536,Alaska,Kodiak Island,0,0,0,2020-03-25T15:58:59.000Z
1541,Alaska,Kusilvak,0,0,0,2020-03-25T15:58:59.000Z
1840,Alaska,Matanuska-Susitna,0,0,0,2020-03-25T15:58:59.000Z
1574,Alaska,Lake and Peninsula,0,0,0,2020-03-25T15:58:59.000Z
274,Alaska,Bristol Bay,0,0,0,2020-03-25T15:58:59.000Z
2626,Alaska,Skagway,0,0,0,2020-03-25T15:58:59.000Z
1291,Alaska,Hoonah-Angoon,0,0,0,2020-03-25T15:58:59.000Z
3161,Alaska,Yukon-Koyukuk,0,0,0,2020-03-25T15:58:59.000Z
3141,Alaska,Yakutat,0,0,0,2020-03-25T15:58:59.000Z
32,Alaska,Aleutians East,0,0,0,2020-03-25T15:58:59.000Z
33,Alaska,Aleutians West,0,0,0,2020-03-25T15:58:59.000Z
58,Alaska,Anchorage,17,0,0,2020-03-25T15:58:59.000Z
2350,Alaska,Prince of Wales-Hyder,0,0,0,2020-03-25T15:58:59.000Z
1038,Arizona,Gila,0,0,0,2020-03-25T15:58:59.000Z
2278,Arizona,Pinal,22,0,0,2020-03-25T15:58:59.000Z
585,Arizona,Coconino,18,0,1,2020-03-25T15:58:59.000Z
2277,Arizona,Pima,42,0,1,2020-03-25T15:58:59.000Z
1788,Arizona,Maricopa,199,0,2,2020-03-25T15:58:59.000Z
582,Arizona,Cochise,1,0,0,2020-03-25T15:58:59.000Z
1543,Arizona,La Paz,0,0,0,2020-03-25T15:58:59.000Z
3147,Arizona,Yavapai,3,0,0,2020-03-25T15:58:59.000Z
1951,Arizona,Mohave,0,0,0,2020-03-25T15:58:59.000Z
2049,Arizona,Navajo,32,0,0,2020-03-25T15:58:59.000Z
1071,Arizona,Graham,2,0,0,2020-03-25T15:58:59.000Z
73,Arizona,Apache,4,0,0,2020-03-25T15:58:59.000Z
3162,Arizona,Yuma,2,0,0,2020-03-25T15:58:59.000Z
2531,Arizona,Santa Cruz,1,0,0,2020-03-25T15:58:59.000Z
1125,Arizona,Greenlee,0,0,0,2020-03-25T15:58:59.000Z
2856,Arizona,Unassigned,0,0,2,2020-03-25T15:58:59.000Z
1555,Arkansas,Lafayette,0,0,0,2020-03-25T15:58:59.000Z
2072,Arkansas,Newton,0,0,0,2020-03-25T15:58:59.000Z
772,Arkansas,Desha,2,0,0,2020-03-25T15:58:59.000Z
563,Arkansas,Cleburne,34,0,1,2020-03-25T15:58:59.000Z
231,Arkansas,Boone,1,0,0,2020-03-25T15:58:59.000Z
994,Arkansas,Fulton,0,0,0,2020-03-25T15:58:59.000Z
2975,Arkansas,Washington,7,0,0,2020-03-25T15:58:59.000Z
1694,Arkansas,Little River,0,0,0,2020-03-25T15:58:59.000Z
1940,Arkansas,Mississippi,0,0,0,2020-03-25T15:58:59.000Z
2386,Arkansas,Randolph,0,0,0,2020-03-25T15:58:59.000Z
2059,Arkansas,Nevada,0,0,0,2020-03-25T15:58:59.000Z
2905,Arkansas,Van Buren,7,0,0,2020-03-25T15:58:59.000Z
2587,Arkansas,Sharp,0,0,0,2020-03-25T15:58:59.000Z
1703,Arkansas,Logan,0,0,0,2020-03-25T15:58:59.000Z
912,Arkansas,Faulkner,17,0,0,2020-03-25T15:58:59.000Z
2554,Arkansas,Scott,0,0,0,2020-03-25T15:58:59.000Z
2857,Arkansas,Unassigned,18,0,1,2020-03-25T15:58:59.000Z
539,Arkansas,Clay,0,0,0,2020-03-25T15:58:59.000Z
